Gene,SNAP-a
ANKFN1,0.000384292
ZHX2,0.000383836
AATK,0.000383742
RNF43,0.000383533
SDC2,0.00038335
PIPOX,0.000382812
ACYP2,0.000382481
ARHGEF9,0.000382394
IL33,0.000382095
PCBP1-AS1,0.000381814
TRPS1,0.000381208
SACS,0.000381036
MTERF1,0.000380791
RAI14,0.000380695
AC034206.1,0.000379647
LINC00511,0.000379203
RPAP2,0.000378868
POT1-AS1,0.000378412
TARBP1,0.00037809
KAT6B,0.000377932
AC005162.3,0.000377721
AC104596.1,0.000377486
GLUD1,0.00037741
NCEH1,0.00037734
AC104090.1,0.000376686
ZNF365,0.00037627
AC004158.1,0.0003761
AC053527.1,0.000374748
BMPER,0.000374684
CALCB,0.00037462
AC100849.1,0.000374574
FAM110B,0.00037437
RPRD2,0.000374254
GPATCH2,0.000374119
R3HDM1,0.000373987
GFOD1,0.000373904
SPTBN1,0.000372731
RNF38,0.000372724
KBTBD12,0.000372648
ADGRA3,0.000372258
PDE8A,0.000372042
KCNA2,0.000372022
TET3,0.000371997
CHST11,0.000371812
FTX,0.000371347
TTTY10,0.000371218
TECPR2,0.00037074
GABBR1,0.00037001
LRRN1,0.00036989
TRIM66,0.000369404
PCDH17,0.000369391
JAKMIP1,0.000369343
VOPP1,0.000368403
C15orf41,0.000367773
LIFR,0.000367659
LINC00278,0.000367355
FOXN2,0.000366775
PLEKHA7,0.000366305
FHOD3,0.000366207
AC092546.1,0.000365535
STX18-AS1,0.000364377
AC034195.1,0.000364301
SGO1-AS1,0.000364007
TMEM132C,0.000363769
LRRC28,0.000363669
C4orf19,0.000363627
COL11A1,0.000362652
MLLT3,0.000362347
AMER2,0.000362028
RBMS3,0.000361784
DIAPH3,0.000361531
RHBDL3,0.000361511
ADD3-AS1,0.000361479
KLHL23,0.000361304
SFPQ,0.000361291
AC245123.1,0.000360745
CDK14,0.000360686
TSPAN12,0.000360471
ZSCAN5A,0.000360127
LANCL2,0.000359938
SPAG16,0.000359903
ALS2CR12,0.000359668
UBA6-AS1,0.000358438
AC007495.1,0.000358248
MERTK,0.000357312
PITPNC1,0.00035718
DGKZ,0.000355705
LINC01278,0.000355449
OSBP2,0.000355392
KMT2C,0.000354952
AC090458.1,0.000354876
CADM1,0.000354322
AC006065.4,0.000354297
KIAA2022,0.000354265
SLC9B1,0.000354123
FAM49A,0.000353376
MBOAT2,0.000352921
REPS1,0.000352774
BAALC,0.00035247
HDAC8,0.000351399
SPECC1,0.000351106
UPP2,0.00035089
CISD1,0.000350346
BICRAL,0.00035012
ZHX3,0.000349939
LRP1B,0.000349168
AIFM3,0.000349055
ENTPD3-AS1,0.000348319
THSD7A,0.000347815
ZNF277,0.000345831
B3GLCT,0.000345727
ANKRD44,0.000345249
ZSWIM6,0.000344312
FRYL,0.000344264
NWD1,0.00034414
AC011467.1,0.000343975
SORL1,0.000343019
APBA1,0.00034282
JAZF1,0.000341946
EFCAB2,0.000341932
ATP2C2,0.000341875
AC074286.1,0.000341832
NR3C1,0.000341495
LINC02062,0.000340758
STAU2,0.000339733
DTX1,0.000339216
STK39,0.000339046
AC006148.1,0.000339043
AIG1,0.000338949
HEPH,0.000338843
ARRB1,0.000338506
AC246817.2,0.000338126
FIRRE,0.000338027
CEP192,0.000337417
LUZP1,0.000337345
FAXDC2,0.00033726
CUBN,0.000336632
AL365259.1,0.000336478
LINC01726,0.000336395
SLC7A10,0.000336302
PPP2R5A,0.000335867
APCDD1,0.000334727
AC008056.2,0.000334615
FMN2,0.000334482
DPP8,0.000333851
GFRA1,0.000333775
GAS2,0.000333618
SGCZ,0.000332961
AL022068.1,0.000332919
FSIP2-AS1,0.00033225
KIFC3,0.00033212
AC022294.1,0.000331666
GPD2,0.000331543
PRDM5,0.000331452
TRIB1,0.000331395
GTF2IRD1,0.000331044
KIAA2026,0.000330988
GAREM2,0.000330912
TMEM232,0.000329788
DPYSL5,0.000329524
CRYL1,0.000329199
CHCHD3,0.000329028
LINC01237,0.000328916
ZEB1,0.00032853
STARD13,0.000328239
GOLGA8A:GOLGA8B,0.000327983
PCDH10,0.000327525
SIK3,0.000325739
LINC00894,0.000325567
AC116366.3,0.000325533
MSRB3,0.000325192
AC114296.1,0.000325059
CLVS2,0.000324209
GSK3B,0.000324148
COMMD10,0.000324119
IGSF11,0.000324083
NSMCE2,0.000323725
RUNX1T1,0.000323461
TRAK2,0.000323087
